date,linear_regression_forecast,arima_forecast,arima_lower_80,arima_upper_80
2025-01-01,136.96,141.13,132.28,149.99
2025-02-01,142.31,151.63,140.04,163.22
2025-03-01,145.12,158.4,142.69,174.11
2025-04-01,145.09,158.26,137.47,179.04
2025-05-01,142.69,154.81,129.57,180.04
2025-06-01,139.02,152.31,123.76,180.86
2025-07-01,135.5,152.15,121.07,183.23
2025-08-01,133.54,153.27,119.96,186.57
2025-09-01,134.12,154.18,118.69,189.66
2025-10-01,137.54,154.3,116.64,191.97
2025-11-01,143.33,153.95,114.18,193.72
2025-12-01,150.39,153.62,111.88,195.37
